padjScreen t15 t1 t3
Sro1264_g257410 0 0 0 0
Sro1265_g257470 0 0 0 0
Sro1266_g257530 0 0 0 0
Sro1266_g257550 0 0 0 0
Sro1266_g257580 0 0 0 0
Sro1267_g257640 0 0 0 0
Sro1268_g257740 0 0 0 0
Sro1268_g257760 0 0 0 0
Sro1268_g257780 0 0 0 0
Sro1268_g257790 0 0 0 0
Sro1269_g257860 0 0 0 0
Sro126_g060450 0 0 0 0
Sro126_g060610 0 0 0 0
Sro126_g060670 0 0 0 0
Sro1270_g258010 0 0 0 0
Sro1270_g258020 0 0 0 0
Sro1271_g258040 0 0 0 0
Sro1271_g258050 0 0 0 0
Sro1271_g258060 0 0 0 0
Sro1271_g258100 0 0 0 0
Sro1271_g258150 0 0 0 0
Sro1272_g258220 0 0 0 0
Sro1272_g258230 0 0 0 0
Sro1273_g258270 0 0 0 0
Sro1273_g258360 0 0 0 0
Sro1274_g258390 0 0 0 0
Sro1274_g258400 0 0 0 0
Sro1274_g258410 0 0 0 0
Sro1275_g258460 0 0 0 0
Sro1275_g258510 0 0 0 0
Sro1278_g258740 0 0 0 0
Sro1278_g258790 0 0 0 0
Sro1278_g258810 0 0 0 0
Sro1279_g258840 0 0 0 0
Sro127_g060730 0 0 0 0
Sro127_g060830 0 0 0 0
Sro127_g060870 0 0 0 0
Sro127_g060940 0 0 0 0
Sro127_g060980 0 0 0 0
Sro1281_g258900 0 0 0 0
Sro1283_g259100 0 0 0 0
Sro1284_g259210 0 0 0 0
Sro1284_g259240 0 0 0 0
Sro1284_g259260 0 0 0 0
Sro1285_g259290 0 0 0 0
Sro1285_g259300 0 0 0 0
Sro1285_g259360 0 0 0 0
Sro1286_g259380 0 0 0 0
Sro1287_g259470 0 0 0 0
Sro1287_g259490 0 0 0 0
Sro1288_g259590 0 0 0 0
Sro1289_g259670 0 0 0 0
Sro1289_g259690 0 0 0 0
