padjScreen t15 t1 t3
Sro1523_g279550 0 0 0 0
Sro1523_g279560 0 0 0 0
Sro1525_g279710 0 0 0 0
Sro1527_g279840 0 0 0 0
Sro1528_g280020 0 0 0 0
Sro152_g069370 0 0 0 0
Sro152_g069430 0 0 0 0
Sro152_g069480 0 0 0 0
Sro1530_g280120 0 0 0 0
Sro1532_g280230 0 0 0 0
Sro1533_g280290 0 0 0 0
Sro1533_g280300 0 0 0 0
Sro1533_g280350 0 0 0 0
Sro1535_g280560 0 0 0 0
Sro1536_g280610 0 0 0 0
Sro153_g069670 0 0 0 0
Sro153_g069810 0 0 0 0
Sro1540_g280870 0 0 0 0
Sro1541_g280930 0 0 0 0
Sro1542_g280990 0 0 0 0
Sro1542_g281080 0 0 0 0
Sro1545_g281280 0 0 0 0
Sro1547_g281470 0 0 0 0
Sro1547_g281500 0 0 0 0
Sro1548_g281550 0 0 0 0
Sro1550_g281690 0 0 0 0
Sro1552_g281850 0 0 0 0
Sro1553_g281950 0 0 0 0
Sro1554_g282080 0 0 0 0
Sro1558_g282310 0 0 0 0
Sro1559_g282430 0 0 0 0
Sro1559_g282440 0 0 0 0
Sro155_g070410 0 0 0 0
Sro1563_g282730 0 0 0 0
Sro1565_g282790 0 0 0 0
Sro1565_g282820 0 0 0 0
Sro1565_g282830 0 0 0 0
Sro1565_g282840 0 0 0 0
Sro1565_g282850 0 0 0 0
Sro1565_g282860 0 0 0 0
Sro1565_g282870 0 0 0 0
Sro1569_g283170 0 0 0 0
Sro156_g070780 0 0 0 0
Sro156_g070870 0 0 0 0
Sro1570_g283220 0 0 0 0
Sro1571_g283330 0 0 0 0
Sro1577_g283540 0 0 0 0
Sro157_g071100 0 0 0 0
Sro157_g071110 0 0 0 0
Sro157_g071360 0 0 0 0
Sro1581_g283780 0 0 0 0
Sro1582_g283860 0 0 0 0
Sro1582_g283880 0 0 0 0
Sro1584_g284050 0 0 0 0
Sro1585_g284080 0 0 0 0
Sro1585_g284160 0 0 0 0
Sro158_g071420 0 0 0 0
Sro158_g071580 0 0 0 0
Sro1596_g284760 0 0 0 0
Sro1598_g284920 0 0 0 0
Sro159_g071890 0 0 0 0
Sro159_g071900 0 0 0 0
Sro15_g010950 0 0 0 0
Sro15_g010960 0 0 0 0
Sro15_g011000 0 0 0 0
Sro15_g011050 0 0 0 0
Sro15_g011180 0 0 0 0
Sro15_g011200 0 0 0 0
Sro15_g011250 0 0 0 0
Sro15_g011340 0 0 0 0
Sro1601_g285210 0 0 0 0
Sro1604_g285340 0 0 0 0
Sro1607_g285590 0 0 0 0
Sro1608_g285710 0 0 0 0
Sro1610_g285790 0 0 0 0
Sro1610_g285810 0 0 0 0
Sro1610_g285820 0 0 0 0
Sro1610_g285870 0 0 0 0
Sro1612_g285940 0 0 0 0
Sro1618_g286370 0 0 0 0
Sro1618_g286400 0 0 0 0
Sro1629_g287090 0 0 0 0
Sro162_g072700 0 0 0 0
Sro162_g072710 0 0 0 0
Sro162_g072720 0 0 0 0
Sro1630_g287180 0 0 0 0
Sro1631_g287240 0 0 0 0
Sro1632_g287310 0 0 0 0
Sro1634_g287430 0 0 0 0
Sro1634_g287440 0 0 0 0
Sro1634_g287490 0 0 0 0
Sro1637_g287620 0 0 0 0
Sro1638_g287720 0 0 0 0
Sro163_g073050 0 0 0 0
Sro163_g073070 0 0 0 0
Sro163_g073290 0 0 0 0
Sro163_g073360 0 0 0 0
