padjScreen t15 t1 t3 t6 t9
Sro102_g052040 0.263366587312882 NA NA NA NA NA
Sro102_g052050 0.647848847872553 NA NA NA NA NA
Sro102_g052080 0.0556987966622844 NA NA NA NA NA
Sro102_g052090 0.584775092175078 NA NA NA NA NA
Sro102_g052100 0.210955647510108 NA NA NA NA NA
Sro102_g052110 0.322933733434517 NA NA NA NA NA
Sro102_g052120 0.335084597269626 NA NA NA NA NA
Sro102_g052130 0.562282799168629 NA NA NA NA NA
Sro102_g052140 0.0985413588829251 NA NA NA NA NA
Sro102_g052160 0.981403557526073 NA NA NA NA NA
Sro102_g052170 0.277654626193072 NA NA NA NA NA
Sro102_g052180 0.833148996837975 NA NA NA NA NA
Sro102_g052190 0.343131588632324 NA NA NA NA NA
Sro102_g052200 0.457692744977685 NA NA NA NA NA
Sro102_g052210 0.078904591352094 NA NA NA NA NA
Sro102_g052230 0.587758690632209 NA NA NA NA NA
Sro102_g052240 0.896019636244144 NA NA NA NA NA
Sro102_g052250 0.876079628961791 NA NA NA NA NA
Sro102_g052260 0.250951545388526 NA NA NA NA NA
Sro1030_g233340 0.42572334911493 NA NA NA NA NA
Sro1030_g233350 0.768412438330171 NA NA NA NA NA
Sro1030_g233360 0.00313065666331143 1 0.177871546501389 1 0.195524357963975 1
Sro1030_g233370 0.985219171783716 NA NA NA NA NA
Sro1031_g233390 0.8384048955711 NA NA NA NA NA
Sro1031_g233400 0.508570650866878 NA NA NA NA NA
Sro1031_g233420 0.0767323596181679 NA NA NA NA NA
Sro1031_g233430 0.00948400772298182 1 1 1 0.0170017375661878 0.510294490157997
Sro1031_g233450 0.161766888141919 NA NA NA NA NA
Sro1031_g233460 0.898298238652671 NA NA NA NA NA
Sro1031_g233470 0.00416987855554733 1 1 0.000643673988013492 1 1
Sro1031_g233480 0.951170878952849 NA NA NA NA NA
Sro1031_g233490 0.985533250149911 NA NA NA NA NA
Sro1032_g233510 0.858744766320597 NA NA NA NA NA
Sro1032_g233520 0.0218996430076917 1 1 1 0.677254628490865 0.0211862195136427
Sro1032_g233530 0.459382923821259 NA NA NA NA NA
Sro1032_g233550 0.022518577739455 1 1 0.00383346957003251 1 1
Sro1032_g233560 0.83088731010442 NA NA NA NA NA
Sro1032_g233580 0.543426451634991 NA NA NA NA NA
Sro1032_g233590 0.997407476078406 NA NA NA NA NA
Sro1032_g233600 0.477251319906394 NA NA NA NA NA
Sro1032_g233630 0.662810334554023 NA NA NA NA NA
Sro1032_g233640 0.221991064512426 NA NA NA NA NA
Sro1033_g233650 0.626184194548619 NA NA NA NA NA
Sro1033_g233660 0.161308515038591 NA NA NA NA NA
Sro1033_g233670 0.804838905042989 NA NA NA NA NA
Sro1033_g233680 0.699419429187992 NA NA NA NA NA
Sro1033_g233690 3.06499695837337e-06 1 0.0045640327968087 1 0.000780228094237521 0.200895368162566
Sro1033_g233700 0.268385682364101 NA NA NA NA NA
Sro1033_g233710 0.429966458907009 NA NA NA NA NA
Sro1033_g233720 0.986966556465982 NA NA NA NA NA
Sro1033_g233730 0.102381855769392 NA NA NA NA NA
Sro1033_g233740 0.841478867135688 NA NA NA NA NA
Sro1033_g233750 0.792640087574276 NA NA NA NA NA
Sro1033_g233760 0.133966161820529 NA NA NA NA NA
Sro1033_g233770 0.107737483110615 NA NA NA NA NA
Sro1033_g233780 0.0032213389940041 1 0.011498913669735 1 0.913964864271519 1
Sro1034_g233800 0.163206483286719 NA NA NA NA NA
Sro1034_g233810 0.0744965686019891 NA NA NA NA NA
Sro1034_g233820 0.00356854483655693 0.666770503168581 0.666770503168581 0.0666053982362548 0.666770503168581 0.666770503168581
Sro1034_g233830 0.262077085466329 NA NA NA NA NA
Sro1034_g233840 0.0884983691165842 NA NA NA NA NA
Sro1034_g233850 0.262077085466329 NA NA NA NA NA
Sro1034_g233860 0.879854002046401 NA NA NA NA NA
Sro1034_g233870 0.246939179180972 NA NA NA NA NA
Sro1035_g233890 0.130036406953399 NA NA NA NA NA
Sro1035_g233910 0.337576002132949 NA NA NA NA NA
Sro1035_g233920 0.0297571732731502 1 1 1 0.00265115982363209 1
Sro1035_g233930 0.376925769217527 NA NA NA NA NA
Sro1035_g233940 0.0135571100111608 1 1 1 0.0137055398091769 0.285994694587262
Sro1035_g233950 0.803809992890493 NA NA NA NA NA
Sro1035_g233960 0.652594139084029 NA NA NA NA NA
Sro1035_g233970 0.955279538518232 NA NA NA NA NA
Sro1036_g233980 0.187226176042303 NA NA NA NA NA
Sro1036_g233990 0.0581541068398469 NA NA NA NA NA
Sro1036_g234000 0.407823321615275 NA NA NA NA NA
Sro1036_g234010 0.444434427405968 NA NA NA NA NA
Sro1036_g234020 0.324344298271141 NA NA NA NA NA
Sro1036_g234040 0.591381134351428 NA NA NA NA NA
